ac_number,constituency,region,district,winning_party_2021,winning_candidate_2021,winning_party_2026,winning_candidate_2026,total_votes_2021,total_votes_2026,Flipped?,winning_party_alliance_2021,winning_party_alliance_2026
72,Tindivanam,Central,Villupuram,AIADMK,ARJUNAN P,VCK,VANNI ARASU,87152,63833,Yes,AIADMK+,DMK+
73,Vanur,Central,Villupuram,AIADMK,CHAKRAPANI M,DMK,GOWTHAM D,92219,68873,Yes,AIADMK+,DMK+
74,Villupuram,Central,Villupuram,DMK,LAKSHMANAN R,DMK,LAKSHMANAN R,102271,72982,No,DMK+,DMK+
75,Vikravandi,Central,Villupuram,DMK,PUGAZHENTHI N,PMK,SIVAKUMAR C,93730,69727,Yes,DMK+,AIADMK+
76,Tirukkoyilur,Central,Villupuram,DMK,K.PONMUDY,AIADMK,PALANISAMY S,110980,73033,Yes,DMK+,AIADMK+
77,Ulundurpet,Central,Villupuram,DMK,MANIKANNAN A J,DMK,VASANTHAVEL G R,115451,98471,No,DMK+,DMK+
78,Rishivandiam,Central,Villupuram,DMK,KARTHIKEYAN K,DMK,KARTHIKEYAN K,113912,89711,No,DMK+,DMK+
79,Sankarapuram,Central,Villupuram,DMK,UDHAYASURIYAN T,AIADMK,RAKESH R,121186,80250,Yes,DMK+,AIADMK+
80,Kallakurichi,Central,Villupuram,AIADMK,Senthilkumar.M,TVK,ARUL VIGNESH C,110643,81132,Yes,AIADMK+,TVK
81,Gangavalli,Central,Salem,AIADMK,"NALLATHAMBI,A.",AIADMK,NALLATHAMBI. A,89568,73167,No,AIADMK+,AIADMK+
82,Attur,Central,Salem,AIADMK,"JAYASANKARAN, A.P.",AIADMK,JAYASANKARAN. A.P.,95308,80843,No,AIADMK+,AIADMK+
83,Yercaud,Central,Salem,AIADMK,G. Chitra,AIADMK,USHARANI. P,121561,87772,No,AIADMK+,AIADMK+
84,Omalur,Central,Salem,AIADMK,R.MANI,AIADMK,MANI. R,142488,112246,No,AIADMK+,AIADMK+
85,Mettur,Central,Salem,PMK,SADHASIVAM.S,AIADMK,VENKATACHALAM. G,97055,86498,Yes,AIADMK+,AIADMK+
86,Edapadi,Central,Salem,AIADMK,EDAPPADI PALANISWAMI. K,AIADMK,EDAPPADI PALANISWAMI. K,163154,148933,No,AIADMK+,AIADMK+
87,Sankari,Central,Salem,AIADMK,"SUNDARARAJAN, S.",AIADMK,VETRIVEL. S,115472,87342,No,AIADMK+,AIADMK+
88,Salem (West),Central,Salem,PMK,ARUL. R,TVK,LAKSHMANAN.S,105483,120407,Yes,AIADMK+,TVK
89,Salem (North),Central,Salem,DMK,R. RAJENDRAN,TVK,SIVAKUMAR. K,93432,85710,Yes,DMK+,TVK
90,Salem (South),Central,Salem,AIADMK,E.BALASUBRAMANIAN,TVK,VIJAY TAMILAN PARTHIBAN. A,97506,91371,Yes,AIADMK+,TVK
91,Veerapandi,Central,Salem,AIADMK,"RAJAMUTHU, M.",TVK,PALANIVEL. M.S,111682,79907,Yes,AIADMK+,TVK
92,Rasipuram,Central,Namakkal,DMK,MATHIVENTHAN M,TVK,LOGESH TAMILSELVAN D,90727,74808,Yes,DMK+,TVK
93,Sendamangalam,Central,Namakkal,DMK,PONNUSAMY K,TVK,P CHANDRASEKAR,90681,68815,Yes,DMK+,TVK
94,Namakkal,Central,Namakkal,DMK,RAMALINGAM P,TVK,DILIP C S,106494,79744,Yes,DMK+,TVK
95,Paramathi-Velur,Central,Namakkal,AIADMK,SEKAR S,AIADMK,SEKAR S,86034,61349,No,AIADMK+,AIADMK+
96,Tiruchengode,Central,Namakkal,DMK,ESWARAN E R,TVK,ARUNRAJ K G,81688,79500,Yes,DMK+,TVK
97,Kumarapalayam,Central,Namakkal,AIADMK,THANGAMANI.P,TVK,C.VIJAYALAKSHMI,100800,81179,Yes,AIADMK+,TVK
98,Erode (East),Kongu,Erode,INC,"THIRUMAHAN EVERAA,E.",TVK,M.VIJAY BALAJI,67300,69747,Yes,DMK+,TVK
99,Erode (West),Kongu,Erode,DMK,Muthusamy S,TVK,ANANTH MOGHAN K.K.,100757,96836,Yes,DMK+,TVK
100,Modakurichi,Kongu,Erode,BJP,SARASWATHI.C,TVK,D.SHANMUGAN,78125,60715,Yes,AIADMK+,TVK
101,Dharapuram,Kongu,Erode,DMK,KAYALVIZHI N,AIADMK,SATHYABAMA.P,89986,81100,Yes,DMK+,AIADMK+
102,Kangayam,Kongu,Erode,DMK,SAMINATHAN.M.P,AIADMK,NSN NATARAJ,94197,71122,Yes,DMK+,AIADMK+
103,Perundurai,Kongu,Erode,AIADMK,"JAYAKUMAR, S.",AIADMK,JAYAKUMAR. S,85125,70302,No,AIADMK+,AIADMK+
104,Bhavani,Kongu,Erode,AIADMK,KARUPPANAN.K.C,AIADMK,KARUPPANAN. K.C,100915,75577,No,AIADMK+,AIADMK+
105,Anthiyur,Kongu,Erode,DMK,VENKATACHALAM.A.G,AIADMK,HARIBASKAR.P,79096,60042,Yes,DMK+,AIADMK+
106,Gobichettipalayam,Kongu,Tirupur,AIADMK,SENGOTTAIYAN K.A,TVK,SENGOTTAIYAN.K.A,108608,82612,Yes,AIADMK+,TVK
107,Bhavanisagar,Kongu,Tirupur,AIADMK,A.Bannari,TVK,V.P.TAMILSELVI,99181,72391,Yes,AIADMK+,TVK
108,Udhagamandalam,Kongu,Tirupur,INC,"GANESH, R.",BJP,BHOJARAJAN.M,65530,48488,Yes,DMK+,AIADMK+
109,Gudalur,Kongu,Tirupur,AIADMK,PON.JAYASEELAN,DMK,DHRAVIDAMANI.M,64496,65590,Yes,AIADMK+,DMK+
110,Coonoor,Kongu,Tirupur,DMK,"Ramachandran, K.",DMK,M. RAJU,61820,50470,No,DMK+,DMK+
111,Mettupalayam,Kongu,Tirupur,AIADMK,SELVARAJ A K,TVK,SUNILANAND,105231,75664,Yes,AIADMK+,TVK
112,Avanashi,Kongu,Tirupur,AIADMK,"DHANAPAL, P",TVK,KAMALI.S,117284,84209,Yes,AIADMK+,TVK
113,Tiruppur (North),Kongu,Tirupur,AIADMK,VIJEYAKUMAR.K.N,TVK,V.SATHYABAMA,113384,131401,Yes,AIADMK+,TVK
114,Tiruppur (South),Kongu,Nilgiris,DMK,SELVARAJ. K.,TVK,BALAMURUGAN. S,75535,73793,Yes,DMK+,TVK
115,Palladam,Kongu,Nilgiris,AIADMK,ANANDAN M S M,TVK,K.RAMKUMAR,126903,121297,Yes,AIADMK+,TVK
116,Sulur,Kongu,Nilgiris,AIADMK,KANDASAMY V.P.,TVK,NM.SUKUMAR,118968,90531,Yes,AIADMK+,TVK
117,Kavundampalayam,Kongu,Coimbatore,AIADMK,G.Arunkumar,TVK,KANIMOZHI SANTHOSH,135669,146466,Yes,AIADMK+,TVK
118,Coimbatore North,Kongu,Coimbatore,AIADMK,AMMAN K.ARJUNAN,TVK,V. SAMPATHKUMAR,81454,92500,Yes,AIADMK+,TVK
119,Thondamuthur,Kongu,Coimbatore,AIADMK,S.P. VELUMANI,AIADMK,S.P.VELUMANI,124225,93316,No,AIADMK+,AIADMK+
120,Coimbatore South,Kongu,Coimbatore,BJP,VANATHI SRINIVASAN,DMK,V SENTHILBALAJI,53209,59724,Yes,AIADMK+,DMK+
121,Singanallur,Kongu,Coimbatore,AIADMK,"Jayaram, K.R",TVK,K.S.SRI GIRI PRASATH,81244,84163,Yes,AIADMK+,TVK
122,Kinathukadavu,Kongu,Coimbatore,AIADMK,Damodaran.S,TVK,VIGNESH K,101537,99950,Yes,AIADMK+,TVK
123,Pollachi,Kongu,Coimbatore,AIADMK,Pollachi V. Jayaraman,DMK,K. NITHYANANDHAN,80567,62013,Yes,AIADMK+,DMK+
124,Valparai,Kongu,Coimbatore,AIADMK,AMULKANDASAMI T K,DMK,KUTTY (ALIAS) SUDHAKAR. A,71672,54671,Yes,AIADMK+,DMK+
125,Udumalpet,Kongu,Coimbatore,AIADMK,"Radhakrishnan,K.",DMK,JAYAKUMAR M.,96893,68549,Yes,AIADMK+,DMK+
126,Madathukulam,Kongu,Coimbatore,AIADMK,C MAHENDRAN,DMK,R JAYARAMAKRISHNAN,84313,70458,Yes,AIADMK+,DMK+
127,Palani,South,Dindigul,DMK,SENTHIL KUMAR I.P,AIADMK,RAVIMANOHARAN. K,108566,66986,Yes,DMK+,AIADMK+
128,Oddanchatram,South,Dindigul,DMK,SAKKARAPANI R,DMK,SAKKARAPANI. R,109970,93099,No,DMK+,DMK+
129,Athoor,South,Dindigul,DMK,PERIYASAMY I,DMK,I. PERIASAMY,165809,106240,No,DMK+,DMK+
130,Nilakottai,South,Dindigul,AIADMK,S.Thenmozhi,TVK,AYYANAR.R,91461,68580,Yes,AIADMK+,TVK
131,Natham,South,Dindigul,AIADMK,NATHAM.R.VISWANATHAN,AIADMK,NATHAM VISWANATHAN R,107762,85708,No,AIADMK+,AIADMK+
132,Dindigul,South,Dindigul,AIADMK,SREENIVASAN.C,DMK,SENTHILKUMAR. I.P,90595,74489,Yes,AIADMK+,DMK+
133,Vedasandur,South,Dindigul,DMK,GANDHIRAJAN S,DMK,SAMINATHAN. T,106481,84948,No,DMK+,DMK+
134,Aravakurichi,Kongu,Karur,DMK,ELANGO. R,DMK,ELANGO. R,93369,70827,No,DMK+,DMK+
135,Karur,Kongu,Karur,DMK,SENTHILBALAJI V,AIADMK,M.R. VIJAYABHASKAR,101757,71542,Yes,DMK+,AIADMK+
136,Krishnarayapuram,Kongu,Karur,DMK,SIVAGAMA SUNDARI.K,TVK,SATHYA. M,96540,62378,Yes,DMK+,TVK
137,Kulithalai,Kongu,Karur,DMK,R.Manickam,DMK,SURIYANUR. A. CHANDRAN,100829,68138,No,DMK+,DMK+
138,Manapparai,Delta,Tiruchirappalli,DMK,ABDUL SAMAD P,TVK,R. KATHIRAVAN,98077,83041,Yes,DMK+,TVK
139,Srirangam,Delta,Tiruchirappalli,DMK,Palaniyandi.M,TVK,RAMESH,113904,103235,Yes,DMK+,TVK
140,Tiruchirapalli (West),Delta,Tiruchirappalli,DMK,"Nehru, K.N.",DMK,K.N.NEHRU,118133,88235,No,DMK+,DMK+
141,Tiruchirapalli (East),Delta,Tiruchirappalli,DMK,"INIGO IRUDAYARAJ,S.",TVK,C. JOSEPH VIJAY,94302,91381,Yes,DMK+,TVK
142,Thiruverambur,Delta,Tiruchirappalli,DMK,ANBIL MAHESH POYYAMOZHI,TVK,VIJAYAKUMAR (A) NAVALPATTU S. VIJI,105424,89837,Yes,DMK+,TVK
143,Lalgudi,Delta,Tiruchirappalli,DMK,A.SOUNDARAPANDIAN,AIADMK,LEEMAROSE MARTIN,84914,60795,Yes,DMK+,AIADMK+
144,Manachanallur,Delta,Tiruchirappalli,DMK,S. KATHIRAVAN,DMK,KATHIRAVAN. S,116334,81447,No,DMK+,DMK+
145,Musiri,Delta,Tiruchirappalli,DMK,N. Thiyagarajan,TVK,M.VIGNESH,90624,71281,Yes,DMK+,TVK
146,Thuraiyur,Delta,Tiruchirappalli,DMK,S.STALINKUMAR,TVK,RAVISANKAR.M,87786,66263,Yes,DMK+,TVK
147,Perambalur,Central,Perambalur,DMK,"PRABHAHARAN, M.",TVK,SIVAKUMAR. K,122090,90882,Yes,DMK+,TVK
148,Kunnam,Central,Perambalur,DMK,"SIVASANKAR, S.S.",DMK,SIVASANKAR. S.S,103922,87237,No,DMK+,DMK+
149,Ariyalur,Central,Ariyalur,DMK,CHINNAPPA K,AIADMK,RAJENDRAN S,103975,95219,Yes,DMK+,AIADMK+
150,Jayankondam,Central,Ariyalur,DMK,KANNAN KA SO KA,PMK,VAITHILINGAM G.,99529,88992,Yes,DMK+,AIADMK+
151,Tittakudi,Central,Cuddalore,DMK,"GANESAN,  C.V.",DMK,GANESAN C.V,83726,63106,No,DMK+,DMK+
152,Vriddhachalam,Central,Cuddalore,INC,Radhakrishnan,DMDK,PREMALLATHA VIJAYAKANT,77064,69351,Yes,DMK+,DMK+
153,Neyveli,Central,Cuddalore,DMK,SABA.RAJENDRAN,AIADMK,RAJENDRAN.R,75177,63731,Yes,DMK+,AIADMK+
154,Panruti,Central,Cuddalore,DMK,VELMURUGAN.T,AIADMK,MOHAN. K,93801,78398,Yes,DMK+,AIADMK+
155,Cuddalore,Central,Cuddalore,DMK,G.IYAPPAN,TVK,B.RAJKUMAR,84563,70856,Yes,DMK+,TVK
156,Kurinjipadi,Central,Cuddalore,DMK,M.R.K.PANNEERSELVAM,DMK,M.R.K.PANNEERSELVAM,101456,76695,No,DMK+,DMK+
157,Bhuvanagiri,Central,Cuddalore,AIADMK,Arunmozhithevan. A,AIADMK,ARUNMOZHITHEVAN . A,96453,75707,No,AIADMK+,AIADMK+
158,Chidambaram,Central,Cuddalore,AIADMK,K.A. PANDIAN,DMK,THAMIMUN ANSARI. M,91961,69739,Yes,AIADMK+,DMK+
159,Kattumannarkoil,Central,Cuddalore,VCK,SINTHANAI SELVAN,VCK,L.E. JOTHIMANI,86056,85179,No,DMK+,DMK+
160,Sirkali,Delta,Nagapattinam,DMK,PANNEERSELVAM,DMK,SENTHILSELVAN.R,94057,71449,No,DMK+,DMK+
161,Mayiladuthurai,Delta,Nagapattinam,INC,Rajakumar.S,INC,JAMAL MOHAMED YOUNOOS. Y.N,73642,68011,No,DMK+,DMK+
162,Poompuhar,Delta,Nagapattinam,DMK,Nivedha M. Murugan,DMK,NIVEDHA M MURUGAN,96102,81096,No,DMK+,DMK+
163,Nagapattinam,Delta,Nagapattinam,VCK,J. Mohamed Shanavas,DMK,M.H.JAWAHIRULLAH,66281,56305,Yes,DMK+,DMK+
164,Kilvelur,Delta,Nagapattinam,CPI(M),NAGAIMAALI V P,CPI(M),LATHA. T,67988,56108,No,DMK+,DMK+
165,Vedaranyam,Delta,Nagapattinam,AIADMK,O.S.MANIAN,AIADMK,MANIAN. O.S,78719,59172,No,AIADMK+,AIADMK+
166,Thiruthuraipundi,Delta,Tiruvarur,CPI,MARIMUTHU K,CPI,MARIMUTHU.K,97092,74062,No,DMK+,DMK+
